Grapheme	IPA	Examples	Languages	Frequence	Codepoints
^	NULL				
$	NULL				
k	k	hóatanikerokaíkaka, síhake̠ke̥	Yahuna, Koretu, Desano, Yupua	100	U+006b
l	l	dṓlo, me̥ḥolaláḥani	Desano, Yupua, Yahuna, Koretu	100	U+006c
a	a	mamálaḥe̠, tsapé̠ualalanika	Yahuna, Yupua, Desano, Koretu	100	U+0061
i	i	sikotitile̥, gubū́tsinidix̯peru	Desano, Yahuna, Koretu, Yupua	100	U+0069
a$	a	tsiúpona, uipóa	Yahuna, Desano, Yupua, Koretu	100	U+0061 U+0024
p	p	óxpe̥le̥, nikapé̠pe̠tū́liaka	Yahuna, Desano, Yupua, Koretu	100	U+0070
r	r	uērériru, mohṓtsirupē̠ru	Desano, Koretu, Yahuna, Yupua	100	U+0072
m	m	mamálaḥe̠, yamimage̠áue̠	Yahuna, Desano, Yupua, Koretu	100	U+006d
n	n	sínoni, tsiúpona	Yahuna, Desano, Koretu, Yupua	100	U+006e
t	t	pitatī́tiaka, pitatóti	Yahuna, Yupua, Koretu, Desano	100	U+0074
o	o	tsiúpona, yakotáya	Desano, Yahuna, Koretu, Yupua	100	U+006f
i$	i	nix̯ti, yímogati	Desano, Koretu, Yupua, Yahuna	100	U+0069 U+0024
^m	m	makáge̥, mamálaḥe̠	Desano, Yahuna, Yupua, Koretu	100	U+005e U+006d
u	u	muhúua̯tsutsī́ge̥le̥, guhī́kuli	Desano, Yahuna, Yupua, Koretu	100	U+0075
h	h	hihohutía, imíliha	Yahuna, Desano, Yupua, Koretu	100	U+0068
e̥$	e̥	sé̠se̠talage̥, óxpe̥le̥	Koretu, Yupua, Desano	100	U+0065 U+0325 U+0024
ó	ó	uitóa, yoxkólo	Yahuna, Desano, Yupua, Koretu	100	U+00f3
g	g	siī́ṅgee̥, sé̠se̠talage̥	Yupua, Yahuna, Desano, Koretu	100	U+0067
^k	k	karíua, kē̠rá	Yahuna, Desano, Koretu, Yupua	100	U+005e U+006b
ā́	á	lā́ko, wā́dali	Yahuna, Koretu, Desano, Yupua	100	U+0101 U+0301
u$	u	gámu, yikadípu	Desano, Yupua, Koretu, Yahuna	100	U+0075 U+0024
^p	p	pē̠ká, pōtía	Yahuna, Desano, Yupua, Koretu	100	U+005e U+0070
o$	o	dṓlo, dé̠ko	Desano, Koretu, Yupua, Yahuna	100	U+006f U+0024
ā	ā	uālá, tāpía	Yahuna, Desano, Koretu, Yupua	100	U+0101
e̠	e̠	sé̠se̠talage̥, kope̠re̠ká	Yahuna, Koretu, Yupua, Desano	100	U+0065 U+0320
á	á	makáge̥, yutáka	Yahuna, Yupua, Desano, Koretu	100	U+00e1
b	b	be̥xbé̥bogabu, sé̠se̠buti	Desano, Yupua, Yahuna, Koretu	100	U+0062
é̠	é̠	dé̠ko, ābé̠_tsīnĩe	Yahuna, Koretu, Desano, Yupua	100	U+00e9 U+0320
e̥	e̥	yuxke̥de̥xká, me̥pe̥lí	Desano, Yupua, Koretu, Yahuna	100	U+0065 U+0325
á$	á	uālá, kē̠rá	Yahuna, Desano, Yupua, Koretu	100	U+00e1 U+0024
^b	b	bōlá, bū́lu	Desano, Yupua, Yahuna, Koretu	100	U+005e U+0062
^d	d	dex̯kó, dṓlo	Desano, Yahuna, Yupua, Koretu	100	U+005e U+0064
x	x	yuxke̥de̥xká, yuxké̥de̥xkagaxtsī́ro	Desano, Yupua, Yahuna, Koretu	100	U+0078
^h	h	huhía, háya	Koretu, Yahuna, Yupua, Desano	100	U+005e U+0068
^s	s	siī́ṅgee̥, sé̠se̠talage̥	Koretu, Yupua, Yahuna	100	U+005e U+0073
ī́	í	siī́ṅgee̥, nī́ya	Desano, Yupua, Yahuna, Koretu	100	U+012b U+0301
d	d	diadyúi, wā́dali	Yupua, Desano, Yahuna	97	U+0064
^t	t	tāpía, te̠tā́re̥	Yahuna, Koretu, Yupua, Desano	96	U+005e U+0074
^g	g	gámu, gā́pi	Desano, Yupua, Yahuna, Koretu	95	U+005e U+0067
é̥	é̥	ké̥re̥, tsé̥me̥oa	Yupua, Koretu, Desano	94	U+00e9 U+0325
^n	n	ne̠é̠, nīmá	Desano, Yahuna, Yupua, Koretu	92	U+005e U+006e
í	í	imíliha, síḥuḥē̠re̥	Koretu, Yahuna, Desano, Yupua	91	U+00ed
e̠$	e̠	mamálaḥe̠, mikā́be̠	Yahuna, Koretu, Desano, Yupua	86	U+0065 U+0320 U+0024
x̯	x̯	dex̯kó, koatx̯ā́etx̯e̥	Yupua, Desano, Yahuna	84	U+0078 U+032f
^y	y	yī́, yé̥ipai	Desano, Yupua, Koretu, Yahuna	82	U+005e U+0079
ḥ	ḥ	síḥuḥē̠re̥, áḥe̠a	Koretu, Yahuna, Yupua, Desano	78	U+1e25
^ya	ya	yatsā́liye̠, yamĩ́ã	Yahuna, Yupua, Desano, Koretu	78	U+005e U+0079 U+0061
ē̠	ē̠	síḥuḥē̠re̥, mē̠ní	Desano, Yahuna, Koretu, Yupua	77	U+0113 U+0320
s	s	yaue̠sé̠, óḥoasisi	Koretu, Yupua, Desano, Yahuna	75	U+0073
ṓ	<?>	dṓlo, mohṓpama	Koretu, Desano, Yupua, Yahuna	71	U+1e53
ts	ts	yatsā́liye̠, muhúua̯tsutsī́ge̥le̥	Desano, Yahuna, Yupua	66	U+0074 U+0073
ḗ̠	<?>	yapuhḗ̠rika, uhḗ̠ku̠ru̠	Yahuna, Desano, Koretu, Yupua	65	U+1e17 U+0320
ō	ō	kōlé̠, kōré̠	Desano, Yahuna, Koretu, Yupua	63	U+014d
e	e	dex̯kó, mohṓtseri_dix̯pelu	Desano, Koretu, Yupua, Yahuna	61	U+0065
ía$	ía	ihía, tāpía	Yahuna, Yupua	59	U+00ed U+0061 U+0024
^ts	ts	tsé̥me̥oa, tsiúpona	Desano, Yahuna, Yupua, Koretu	59	U+005e U+0074 U+0073
í$	í	six̯sí, mē̠ní	Desano, Yupua, Yahuna, Koretu	59	U+00ed U+0024
ī	ī	ābé̠_tsīnĩe, nīmá	Desano, Yahuna, Yupua, Koretu	57	U+012b
^u	u	uālá, ué̠koa_malā́bē̠na	Desano, Yahuna, Yupua, Koretu	57	U+005e U+0075
ú	ú	tsútsi, uáimúmi	Yupua, Desano, Yahuna, Koretu	56	U+00fa
ia	ia	diadyúi, liáme̥kiatu	Koretu, Yahuna, Desano, Yupua	53	U+0069 U+0061
ū́	ú	gubū́pama, kū́li	Desano, Yahuna, Koretu, Yupua	46	U+016b U+0301
^ua	ua	uapúa, uaxtx̯ú	Yahuna, Yupua, Desano, Koretu	46	U+005e U+0075 U+0061
é	é	yéta, gaéi	Desano, Yupua, Koretu, Yahuna	45	U+00e9
oa$	oa	ókoa, hókoa	Yahuna, Yupua, Desano	42	U+006f U+0061 U+0024
ó$	ó	dex̯kó, minó	Desano, Yahuna, Yupua, Koretu	41	U+00f3 U+0024
ia$	ia	tapoiḥia, lu̠pú̠komihia	Yahuna, Koretu, Yupua	40	U+0069 U+0061 U+0024
^l	l	lā́ko, láe̥	Yahuna, Koretu, Yupua	39	U+005e U+006c
_	_	ābé̠_tsīnĩe, yée̥_uáge̥_apé̠na	Yupua, Desano, Yahuna	39	U+005f
é̥$	é̥	e̥me̥é̥, se̥x̯sé̥	Desano, Yupua, Yahuna	36	U+00e9 U+0325 U+0024
é̠$	é̠	kōlé̠, yaue̠sé̠	Desano, Yupua, Yahuna, Koretu	35	U+00e9 U+0320 U+0024
ú$	ú	uā́lix̯ú, kumalú	Desano, Yupua, Yahuna	31	U+00fa U+0024
x̯s	x̯s	six̯sí, ye̠x̯sé̠	Desano, Yupua, Koretu	30	U+0078 U+032f U+0073
^ā	ā	ābé̠_tsīnĩe, ānyáka	Yahuna, Desano, Yupua	29	U+005e U+0101
^o	o	oóe̠ka, oā́pu̠līka	Desano, Koretu, Yahuna	29	U+005e U+006f
iá	iá	diákea, diákala	Koretu, Yahuna, Desano	27	U+0069 U+00e1
e$	e	sī́ne, héhe	Desano, Yupua, Koretu, Yahuna	26	U+0065 U+0024
y	y	diḗypōleru, mīdyóabe̠	Desano, Yupua, Yahuna	26	U+0079
^a	a	axpī́ro, aháke̥	Desano, Yahuna, Yupua, Koretu	25	U+005e U+0061
úa$	úa	uapúa, yapúa	Yahuna	25	U+00fa U+0061 U+0024
^ṓ	<?>	ṓa, ṓpe̠a	Yahuna, Yupua, Desano, Koretu	24	U+005e U+1e53
u̠	u̠	lu̠pu̠koá, lu̠pu̠kóa	Desano, Yahuna, Koretu, Yupua	24	U+0075 U+0320
ū	ū	uxsípūli, gūnyabirikā́	Desano, Yahuna, Yupua	23	U+016b
^i	i	ihía, imíliha	Yahuna, Koretu, Desano, Yupua	23	U+005e U+0069
ía	ía	kíasiri, híatoli	Koretu, Yupua, Yahuna, Desano	22	U+00ed U+0061
^yu	yu	yuxke̥de̥xká, yutáka	Desano, Yahuna, Yupua	22	U+005e U+0079 U+0075
oa	oa	koapái, ué̠koa_malā́bē̠na	Yahuna, Desano, Yupua, Koretu	21	U+006f U+0061
xs	xs	uxsípūli, maxsá	Desano, Yupua	21	U+0078 U+0073
^ō	ō	ōlé̠a, ōpé̠li	Desano, Yahuna	20	U+005e U+014d
e̠a$	e̠a	áḥe̠a, ṓpe̠a	Yahuna, Koretu, Desano	20	U+0065 U+0320 U+0061 U+0024
ya$	ya	siā́ya, bóya	Yupua, Yahuna, Koretu, Desano	19	U+0079 U+0061 U+0024
^yi	yi	yibáukuni, yihínyu	Yahuna, Yupua	18	U+005e U+0079 U+0069
ya	ya	būdyaboía, pāyamóalika	Yahuna, Desano, Koretu	18	U+0079 U+0061
^yo	yo	yoxkólo, yohó	Desano, Yupua, Yahuna, Koretu	18	U+005e U+0079 U+006f
ṅ	<?>	siī́ṅgee̥, ĩ̄ṅẽyábe̠ro_buiríbe̠ro	Desano, Yupua	16	U+1e45
^ó	ó	óaka, óxpe̥le̥	Yahuna, Yupua, Koretu	16	U+005e U+00f3
^ā́	á	ā́logaga, ā́ge̥_ai̯uálisú	Yahuna, Yupua, Desano, Koretu	16	U+005e U+0101 U+0301
'm	m	kū́'me̥, yá'ma	Koretu, Yahuna, Desano, Yupua	15	U+0027 U+006d
^ī	ī	īrirí, īnakuliuḗ̠he̠naka	Yahuna, Desano	14	U+005e U+012b
ē	ē	pe̠áyēri, yēlékume	Desano, Yupua	13	U+0113
^yá	yá	yátai̯ga, yábu	Yupua, Koretu, Yahuna	13	U+005e U+0079 U+00e1
yu$	yu	yimī́nyu, yihínyu	Yahuna, Yupua	13	U+0079 U+0075 U+0024
yá$	yá	ānyá, kālanyá	Yahuna, Yupua, Desano	13	U+0079 U+00e1 U+0024
^ū	ū	ūlía, ūpúa	Yahuna, Desano	12	U+005e U+016b
iu	iu	liuḗ̠yie̠ká, kaliuāna	Yahuna, Koretu, Desano	12	U+0069 U+0075
^e̥	e̥	e̥me̥é̥, e̥mé̥	Desano, Yupua	12	U+005e U+0065 U+0325
ua	ua	pū́puaga, tsapé̠ualalanika	Yahuna, Desano, Yupua	12	U+0075 U+0061
ái$	ái	koapái, uaxsagái	Yahuna, Yupua	12	U+00e1 U+0069 U+0024
ye̥$	ye̥	ṓdye̥, tū́dye̥	Yahuna, Yupua	12	U+0079 U+0065 U+0325 U+0024
ui	ui	ĩ̄ṅẽyábe̠ro_buiríbe̠ro, mé̥yabe̠ro_buiríbe̠ro	Desano, Yahuna	11	U+0075 U+0069
^é̥	é̥	é̥ba, é̥me̥	Yupua, Koretu, Desano	11	U+005e U+00e9 U+0325
xh	xh	buxhū́lu, tsīunduxhā́ko	Desano, Yupua	11	U+0078 U+0068
^uai	uai	uaihī́ro, uaikuā́re̥	Yahuna, Desano, Koretu	11	U+005e U+0075 U+0061 U+0069
é$	é	meé, hotōnié	Desano, Koretu, Yupua	11	U+00e9 U+0024
ua$	ua	gáhua, mahapṓua	Yahuna, Yupua, Koretu, Desano	11	U+0075 U+0061 U+0024
ḗ	<?>	ṅḗē, diḗypōleru	Desano, Yupua, Yahuna, Koretu	10	U+1e17
^uá	uá	uáme̥a, uálē̠ka	Yupua, Yahuna, Desano	10	U+005e U+0075 U+00e1
^w	w	wā́dali, wií	Desano, Yahuna	10	U+005e U+0077
áya$	áya	háya, yakotáya	Yahuna, Yupua, Koretu	9	U+00e1 U+0079 U+0061 U+0024
oi	oi	ḥe̥ḥóḥoire̥, pū́poitobe̠	Koretu, Yahuna	9	U+006f U+0069
yi	yi	iádyiri, nyikalíye̠	Yahuna, Yupua, Desano	9	U+0079 U+0069
'n	n	mi'nóa, mē̠'ní	Yahuna, Koretu	9	U+0027 U+006e
^ue	ue	uex̯képamu, uex̯kowe̥lī́e	Desano, Yupua	9	U+005e U+0075 U+0065
^ui	ui	uitóa, uipóa	Yahuna, Yupua, Desano	9	U+005e U+0075 U+0069
u̠$	u̠	sírise̠pu̠, uhḗ̠ku̠ru̠	Koretu, Desano	8	U+0075 U+0320 U+0024
oá$	oá	lu̠pu̠koá, ya'koá	Yahuna, Desano, Yupua	8	U+006f U+00e1 U+0024
^ye̠	ye̠	ye̠x̯sé̠, ye̠x̯sé̠pulu	Desano, Yahuna, Yupua	8	U+005e U+0079 U+0065 U+0320
^ue̥	ue̥	ue̥li, ue̥é̥	Yupua, Desano	8	U+005e U+0075 U+0065 U+0325
iá$	iá	hiá, uaxpiniakoliá	Yahuna, Koretu, Desano, Yupua	8	U+0069 U+00e1 U+0024
^ḥ	ḥ	ḥe̥ḥóḥoire̥, ḥé̥he̥	Koretu	8	U+005e U+1e25
yá	yá	ānyáka, pē̠yáru	Yahuna, Desano	8	U+0079 U+00e1
ī́$	í	yī́, tsaī́	Yupua, Yahuna, Desano	8	U+012b U+0301 U+0024
úa	úa	uanúame̠pe̠, ūkúame	Yahuna, Yupua, Desano	7	U+00fa U+0061
oá	oá	moákahe̠a, ḳoákuru	Yahuna, Desano, Yupua	7	U+006f U+00e1
^ue̠	ue̠	ue̠sé̠, ue̠ré̠i̯	Yupua, Desano, Yahuna	7	U+005e U+0075 U+0065 U+0320
au	au	kautu, tsauī́dyu	Yahuna, Koretu, Yupua	7	U+0061 U+0075
^ú	ú	úma, úkirika	Yupua, Yahuna, Koretu	7	U+005e U+00fa
^ī́	í	ī́ne̥, ī́mu	Yupua, Yahuna, Desano	6	U+005e U+012b U+0301
'k	k	ya'kátsana, mḗ̠'kiari	Yahuna, Koretu, Desano	6	U+0027 U+006b
ā́$	á	gūnyabirikā́, tā́	Desano, Yupua	6	U+0101 U+0301 U+0024
^ye	ye	yehátsirigoali, yex̯sálipe̥ali	Desano	6	U+005e U+0079 U+0065
w	w	uex̯kowe̥lī́e, me̥ā́yawii	Desano, Yupua, Yahuna	6	U+0077
ie̠	ie̠	hḗ̠hie̠kie̥, hḗ̠kie̠ri	Yahuna, Koretu	6	U+0069 U+0065 U+0320
^oa	oa	oatá, oalákaka	Yahuna, Koretu	6	U+005e U+006f U+0061
^yee̥	ye̥ː	yee̥bóodyée̥, yee̥tsíe̠i̯	Yupua	6	U+005e U+0079 U+0065 U+0065 U+0325
^yai	yai	yairó, yaihóaga	Yahuna, Desano, Koretu	6	U+005e U+0079 U+0061 U+0069
't	t	pé̠'tōre̥, pí'taka	Koretu, Yahuna	5	U+0027 U+0074
^ē̠	ē̠	ē̠yā́lo, ē̠nyamihia	Yahuna, Desano, Koretu	5	U+005e U+0113 U+0320
^ui̯	ui̯	ui̯póhaiga, ui̯póa	Yahuna, Yupua, Desano	5	U+005e U+0075 U+0069 U+032f
óh	óh	ui̯póhaiga, hóhona	Yahuna, Koretu, Yupua	5	U+00f3 U+0068
ā́s	ā́s	mā́sa, yā́si	Yupua, Koretu, Yahuna	5	U+0101 U+0301 U+0073
áua$	áua	yoaláua, báua	Yahuna	5	U+00e1 U+0075 U+0061 U+0024
ea	ea	ã̄nyã́pakeaka, meamítiye̥	Yahuna, Koretu	5	U+0065 U+0061
ai$	ai	yé̥ipai, mai	Yupua, Yahuna	5	U+0061 U+0069 U+0024
^uái	uái	uáimúmi, uáiroka	Yupua, Yahuna	5	U+005e U+0075 U+00e1 U+0069
ā$	ā	yūlikā, uaiōā	Desano, Yupua	5	U+0101 U+0024
oe̠	oe̠	mix̯hoe̠be̠, wiipoe̠káke̠	Yahuna, Desano	5	U+006f U+0065 U+0320
ii$	iː	ikū́lii, bii	Desano, Koretu	5	U+0069 U+0069 U+0024
áu	áu	yibáukuni, mibáubadyube̠	Yahuna, Koretu	5	U+00e1 U+0075
ii	iː	wiipoe̠káke̠, wiikaluxkáke̠	Desano, Yupua	5	U+0069 U+0069
^í	í	íne̥me̥, íṅigobe̠ri	Desano, Yupua, Koretu	4	U+005e U+00ed
^á	á	áḥe̠a, ámu	Yahuna, Yupua	4	U+005e U+00e1
io	io	tā́pioto, uaxpī́kioli	Yahuna, Desano	4	U+0069 U+006f
mh	mh	kālamhé, yoā́limhi	Desano	4	U+006d U+0068
ṹ	ṹ	ue̥nṹõ, tsṹũrũ	Desano, Yupua	4	U+1e79
uá	uá	muákahe̠, yapuáḥe̠a	Yahuna, Yupua	4	U+0075 U+00e1
iua	iua	taā́piuaho, siuaḥíkie̯	Yahuna, Koretu	4	U+0069 U+0075 U+0061
ós	ós	bóso, mósa	Yupua, Yahuna, Koretu	4	U+00f3 U+0073
ie̥$	ie̥	uarákie̥, loké̥kie̥	Koretu	4	U+0069 U+0065 U+0325 U+0024
ai	ai	ui̯póhaiga, yé̥ulagai_kóe̠x̯u	Yahuna, Yupua	4	U+0061 U+0069
ĩ́ã$	ĩ́ã	yamĩ́ã, kamĩ́ã	Desano	4	U+0129 U+0301 U+00e3 U+0024
yu	yu	kirī́kapunyuto, nyumálika	Yahuna, Desano	4	U+0079 U+0075
ãẽ$	ãẽ	góamãẽ, minimãẽ	Desano, Yupua	4	U+00e3 U+1ebd U+0024
e̠a	e̠a	kṓlike̠alo, hḗ̠ne̠ke̠alo	Koretu, Yupua, Yahuna	4	U+0065 U+0320 U+0061
áy$	áy	iipáy, uē̠lopáy	Yahuna	4	U+00e1 U+0079 U+0024
ai̯	ai̯	yátai̯ga, bitai̯góp̌e̠ka	Yahuna, Yupua, Desano	4	U+0061 U+0069 U+032f
eo	eo	ḳeolḗ̠yu, lu̠pu̠é̠meoka	Yahuna	4	U+0065 U+006f
aa	aː	maagóxko, tsamaapiáe̠ka	Yupua, Yahuna	4	U+0061 U+0061
ie$	ie	kuayḗ̠rie, gā́lie	Yahuna	4	U+0069 U+0065 U+0024
ee̥$	e̥ː	siī́ṅgee̥	Yupua	4	U+0065 U+0065 U+0325 U+0024
úi$	úi	búi, gúi	Yupua, Koretu	4	U+00fa U+0069 U+0024
é̠s	é̠s	sé̠se̠talage̥, sé̠se̠buti	Yupua	4	U+00e9 U+0320 U+0073
iye̠$	iye̠	yatsā́liye̠, dialiye̠	Desano	4	U+0069 U+0079 U+0065 U+0320 U+0024
uí	uí	kuísipóali, puítsamu	Desano	3	U+0075 U+00ed
oi̯	oi̯	sigoi̯tagiáḥoiri, goi̯takiáḥoiri	Koretu	3	U+006f U+0069 U+032f
aua	aua	gé̥apauatx̯u, pitauaḥoa	Yupua, Yahuna	3	U+0061 U+0075 U+0061
ẽ$	ẽ	ṹẽ, pṹẽ	Yupua, Desano	3	U+1ebd U+0024
yã́	yã́	ã̄nyã́pakeaka, ā̃nyã́nyaru	Yahuna, Desano	3	U+0079 U+00e3 U+0301
ie̥	ie̥	tṓkie̥āne̥, pie̥le̥	Yupua, Koretu	3	U+0069 U+0065 U+0325
íi	íi	píidika, bíitu	Yupua, Yahuna	3	U+00ed U+0069
iia$	iːa	diia, diuḗ̠diia	Yahuna	3	U+0069 U+0069 U+0061 U+0024
au̯	au̯	kau̯hanikía, tau̯ā́nipatunie̯	Yahuna, Koretu	3	U+0061 U+0075 U+032f
^yū	yū	yūli, yūmú	Desano	3	U+005e U+0079 U+016b
e̠á	e̠á	pe̠áme̠ye̠, ē̠ke̠ápiāri	Desano, Koretu	3	U+0065 U+0320 U+00e1
uá$	uá	uaḥuá, būluá	Desano, Yupua	3	U+0075 U+00e1 U+0024
^áue̠	áue̠	áue̠pé̥lage̠, áue̠mame̥	Yupua	3	U+005e U+00e1 U+0075 U+0065 U+0320
ái	ái	táiāre̥, náige̠	Koretu, Yupua	3	U+00e1 U+0069
ĩe$	ĩe	ābé̠_tsīnĩe, pḗ̠yalĩe	Desano	3	U+0129 U+0065 U+0024
'p	p	ya'pía, do'pã́ã	Yahuna, Desano	3	U+0027 U+0070
aá$	áː	maá, tsaá	Desano, Yahuna	3	U+0061 U+00e1 U+0024
íue̠	íue̠	me̠líue̠sḗ̠re̥, te̠alíue̠koa	Koretu, Yahuna	3	U+00ed U+0075 U+0065 U+0320
